epoch,n,ce,acc
0,2000.0,2.3025016136169434,0.1025
1,2000.0,2.299223392486572,0.1
2,2000.0,2.289015951156616,0.1
3,2000.0,2.237454658508301,0.12
4,2000.0,2.0881878547668458,0.2555
