epoch,n,ce,acc
0,2000.0,2.3000320892333983,0.1
1,2000.0,2.2949431018829345,0.1
2,2000.0,2.2760791397094726,0.118
3,2000.0,2.231037039756775,0.1405
4,2000.0,2.065952760696411,0.2275
