epoch,n,ce,acc
0,2000.0,2.3006369323730467,0.1
1,2000.0,2.2940235481262206,0.1005
2,2000.0,2.258871639251709,0.238
3,2000.0,2.300510522842407,0.1
4,2000.0,2.1429404468536375,0.1865
