epoch,n,ce,acc,rtd
0,2000.0,2.302491367340088,0.1,0.001116351377684623
1,2000.0,2.3023852252960206,0.1,0.0010939533170312642
2,2000.0,2.3021269664764406,0.111,0.0010947641311213373
3,2000.0,2.301608339309692,0.1675,0.0011013174424879253
4,2000.0,2.300573017120361,0.2215,0.001112201858777553
