epoch,n,ce,acc
0,2000.0,2.3025142097473146,0.1045
1,2000.0,2.298649856567383,0.1
2,2000.0,2.285967052459717,0.1
3,2000.0,2.2175985298156737,0.173
4,2000.0,2.0459568004608153,0.2395
