epoch,n,ce,acc
0,2000.0,2.300643217086792,0.1
1,2000.0,2.2940112171173097,0.102
2,2000.0,2.2550656967163087,0.2495
3,2000.0,2.712984113693237,0.1
4,2000.0,2.300441349029541,0.1
