epoch,n,ce,acc
0,2000.0,2.3002759284973147,0.1
1,2000.0,2.2951223793029785,0.1005
2,2000.0,2.2734025688171386,0.116
3,2000.0,2.2667937145233155,0.132
4,2000.0,2.113076858520508,0.192
