epoch,n,ce,acc,rtd
0,2000.0,2.302333896636963,0.1,0.0006893069911748171
1,2000.0,2.2994117107391356,0.1,0.0005247651941608638
2,2000.0,2.2864392204284667,0.116,0.0005139762377366424
3,2000.0,2.170873188018799,0.1805,0.0005534804095514118
4,2000.0,2.0317510414123534,0.213,0.0006556372644845397
