epoch,n,ce,acc,rtd
0,2000.0,2.300555616378784,0.115,0.0006858729633968324
1,2000.0,2.2960432357788085,0.1,0.0005330203487537801
2,2000.0,2.283924537658691,0.1025,0.0005231723983306438
3,2000.0,2.2340005226135253,0.1865,0.0005503895960282534
4,2000.0,2.1315696601867677,0.2045,0.0005898917452432216
